,country,year,d_ns,preds,preds_proba
0,United States of America,2017,0,0,0.0
1,United States of America,2018,0,0,0.0
2,United States of America,2019,1,0,0.0
3,United States of America,2020,0,0,0.0
4,United States of America,2021,0,0,0.0
5,United States of America,2022,1,0,0.0
6,United States of America,2023,0,0,0.0
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.0
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.0
13,Canada,2023,0,0,0.0
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.0
20,Cuba,2023,0,0,0.0
21,Haiti,2017,0,0,0.0
22,Haiti,2018,0,0,0.0
23,Haiti,2019,0,0,0.0
24,Haiti,2020,0,0,0.0
25,Haiti,2021,1,0,0.0
26,Haiti,2022,1,0,0.0
27,Haiti,2023,1,0,0.0
28,Dominican Republic,2017,0,0,0.0
29,Dominican Republic,2018,0,0,0.0
30,Dominican Republic,2019,0,0,0.0
31,Dominican Republic,2020,0,0,0.0
32,Dominican Republic,2021,0,0,0.0
33,Dominican Republic,2022,0,0,0.0
34,Dominican Republic,2023,0,0,0.0
35,Jamaica,2017,0,0,0.0
36,Jamaica,2018,0,0,0.0
37,Jamaica,2019,0,0,0.0
38,Jamaica,2020,0,0,0.0
39,Jamaica,2021,0,0,0.0
40,Jamaica,2022,0,0,0.0
41,Jamaica,2023,0,0,0.0
42,Trinidad and Tobago,2017,0,0,0.0
43,Trinidad and Tobago,2018,0,0,0.0
44,Trinidad and Tobago,2019,0,0,0.0
45,Trinidad and Tobago,2020,0,0,0.0
46,Trinidad and Tobago,2021,0,0,0.0
47,Trinidad and Tobago,2022,0,0,0.0
48,Trinidad and Tobago,2023,0,0,0.0
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.0
51,Barbados,2019,0,0,0.0
52,Barbados,2020,0,0,0.0
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.0
55,Barbados,2023,0,0,0.0
56,Mexico,2017,1,0,0.0
57,Mexico,2018,1,0,0.0
58,Mexico,2019,1,0,0.0
59,Mexico,2020,1,0,0.0
60,Mexico,2021,1,0,0.0
61,Mexico,2022,1,0,0.0
62,Mexico,2023,1,0,0.0
63,Guatemala,2017,0,0,0.0
64,Guatemala,2018,0,0,0.0
65,Guatemala,2019,0,0,0.0
66,Guatemala,2020,0,0,0.0
67,Guatemala,2021,0,0,0.0
68,Guatemala,2022,1,0,0.0
69,Guatemala,2023,0,0,0.0
70,Honduras,2017,0,0,0.0
71,Honduras,2018,1,0,0.0
72,Honduras,2019,1,0,0.0
73,Honduras,2020,1,0,0.0
74,Honduras,2021,1,0,0.0
75,Honduras,2022,1,0,0.0
76,Honduras,2023,1,0,0.0
77,El Salvador,2017,0,0,0.0
78,El Salvador,2018,0,0,0.0
79,El Salvador,2019,0,0,0.0
80,El Salvador,2020,0,0,0.0
81,El Salvador,2021,0,0,0.0
82,El Salvador,2022,0,0,0.0
83,El Salvador,2023,0,0,0.0
84,Nicaragua,2017,0,0,0.0
85,Nicaragua,2018,0,0,0.0
86,Nicaragua,2019,0,0,0.0
87,Nicaragua,2020,0,0,0.0
88,Nicaragua,2021,0,0,0.0
89,Nicaragua,2022,0,0,0.0
90,Nicaragua,2023,0,0,0.0
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.0
94,Costa Rica,2020,0,0,0.0
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.0
97,Costa Rica,2023,0,0,0.0
98,Panama,2017,0,0,0.0
99,Panama,2018,0,0,0.0
100,Panama,2019,0,0,0.0
101,Panama,2020,0,0,0.0
102,Panama,2021,0,0,0.0
103,Panama,2022,0,0,0.0
104,Panama,2023,0,0,0.0
105,Colombia,2017,1,0,0.0
106,Colombia,2018,1,0,0.0
107,Colombia,2019,1,0,0.0
108,Colombia,2020,1,0,0.0
109,Colombia,2021,1,0,0.0
110,Colombia,2022,1,0,0.0
111,Colombia,2023,1,0,0.0
112,Venezuela,2017,0,0,0.0
113,Venezuela,2018,0,0,0.0
114,Venezuela,2019,0,0,0.0
115,Venezuela,2020,0,0,0.0
116,Venezuela,2021,1,0,0.0
117,Venezuela,2022,1,0,0.0
118,Venezuela,2023,0,0,0.0
119,Guyana,2017,0,0,0.0
120,Guyana,2018,0,0,0.0
121,Guyana,2019,0,0,0.0
122,Guyana,2020,0,0,0.0
123,Guyana,2021,0,0,0.0
124,Guyana,2022,0,0,0.0
125,Guyana,2023,0,0,0.0
126,Suriname,2017,0,0,0.0
127,Suriname,2018,0,0,0.0
128,Suriname,2019,0,0,0.0
129,Suriname,2020,0,0,0.0
130,Suriname,2021,0,0,0.0
131,Suriname,2022,0,0,0.0
132,Suriname,2023,0,0,0.0
133,Ecuador,2017,0,0,0.0
134,Ecuador,2018,0,0,0.0
135,Ecuador,2019,0,0,0.0
136,Ecuador,2020,0,0,0.0
137,Ecuador,2021,1,0,0.0
138,Ecuador,2022,1,0,0.0
139,Ecuador,2023,1,0,0.0
140,Peru,2017,0,0,0.0
141,Peru,2018,0,0,0.0
142,Peru,2019,0,0,0.0
143,Peru,2020,0,0,0.0
144,Peru,2021,0,0,0.0
145,Peru,2022,0,0,0.0
146,Peru,2023,0,0,0.0
147,Brazil,2017,1,0,0.0
148,Brazil,2018,1,0,0.0
149,Brazil,2019,1,0,0.0
150,Brazil,2020,1,0,0.0
151,Brazil,2021,1,0,0.0
152,Brazil,2022,1,0,0.0
153,Brazil,2023,1,0,0.0
154,Bolivia,2017,0,0,0.0
155,Bolivia,2018,0,0,0.0
156,Bolivia,2019,0,0,0.0
157,Bolivia,2020,0,0,0.0
158,Bolivia,2021,1,0,0.0
159,Bolivia,2022,0,0,0.0
160,Bolivia,2023,1,0,0.0
161,Paraguay,2017,0,0,0.0
162,Paraguay,2018,0,0,0.0
163,Paraguay,2019,0,0,0.0
164,Paraguay,2020,0,0,0.0
165,Paraguay,2021,0,0,0.0
166,Paraguay,2022,0,0,0.0
167,Paraguay,2023,0,0,0.0
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.0
170,Chile,2019,0,0,0.0
171,Chile,2020,0,0,0.0
172,Chile,2021,0,0,0.0
173,Chile,2022,0,0,0.0
174,Chile,2023,0,0,0.0
175,Argentina,2017,0,0,0.0
176,Argentina,2018,0,0,0.0
177,Argentina,2019,0,0,0.0
178,Argentina,2020,0,0,0.0
179,Argentina,2021,0,0,0.0
180,Argentina,2022,0,0,0.0
181,Argentina,2023,0,0,0.0
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.0
188,Uruguay,2023,0,0,0.0
189,United Kingdom,2017,0,0,0.0
190,United Kingdom,2018,0,0,0.0
191,United Kingdom,2019,0,0,0.0
192,United Kingdom,2020,0,0,0.0
193,United Kingdom,2021,0,0,0.0
194,United Kingdom,2022,0,0,0.0
195,United Kingdom,2023,0,0,0.0
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.0
209,Netherlands,2023,0,0,0.0
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0
222,Luxembourg,2022,0,0,0.0
223,Luxembourg,2023,0,0,0.0
224,France,2017,0,0,0.0
225,France,2018,0,0,0.0
226,France,2019,0,0,0.0
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0
229,France,2022,0,0,0.0
230,France,2023,1,0,0.0
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.0
237,Switzerland,2023,0,0,0.0
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0
240,Spain,2019,0,0,0.0
241,Spain,2020,0,0,0.0
242,Spain,2021,0,0,0.0
243,Spain,2022,0,0,0.0
244,Spain,2023,1,0,0.0
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.0
251,Portugal,2023,0,0,0.0
252,Germany,2017,0,0,0.0
253,Germany,2018,0,0,0.0
254,Germany,2019,0,0,0.0
255,Germany,2020,0,0,0.0
256,Germany,2021,0,0,0.0
257,Germany,2022,0,0,0.0
258,Germany,2023,0,0,0.0
259,Poland,2017,0,0,0.0
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.0
264,Poland,2022,0,0,0.0
265,Poland,2023,0,0,0.0
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.0
270,Austria,2021,0,0,0.0
271,Austria,2022,0,0,0.0
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.0
279,Hungary,2023,0,0,0.0
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0
286,Czechia,2023,0,0,0.0
287,Slovakia,2017,0,0,0.0
288,Slovakia,2018,0,0,0.0
289,Slovakia,2019,0,0,0.0
290,Slovakia,2020,0,0,0.0
291,Slovakia,2021,0,0,0.0
292,Slovakia,2022,0,0,0.0
293,Slovakia,2023,0,0,0.0
294,Italy,2017,0,0,0.0
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.0
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.0
299,Italy,2022,0,0,0.0
300,Italy,2023,0,0,0.0
301,Malta,2017,0,0,0.0
302,Malta,2018,0,0,0.0
303,Malta,2019,0,0,0.0
304,Malta,2020,0,0,0.0
305,Malta,2021,0,0,0.0
306,Malta,2022,0,0,0.0
307,Malta,2023,0,0,0.0
308,Albania,2017,0,0,0.0
309,Albania,2018,0,0,0.0
310,Albania,2019,0,0,0.0
311,Albania,2020,0,0,0.0
312,Albania,2021,0,0,0.0
313,Albania,2022,0,0,0.0
314,Albania,2023,0,0,0.0
315,Serbia,2017,0,0,0.0
316,Serbia,2018,0,0,0.0
317,Serbia,2019,0,0,0.0
318,Serbia,2020,0,0,0.0
319,Serbia,2021,0,0,0.0
320,Serbia,2022,0,0,0.0
321,Serbia,2023,0,0,0.0
322,Montenegro,2017,0,0,0.0
323,Montenegro,2018,0,0,0.0
324,Montenegro,2019,0,0,0.0
325,Montenegro,2020,0,0,0.0
326,Montenegro,2021,0,0,0.0
327,Montenegro,2022,0,0,0.0
328,Montenegro,2023,0,0,0.0
329,North Macedonia,2017,0,0,0.0
330,North Macedonia,2018,0,0,0.0
331,North Macedonia,2019,0,0,0.0
332,North Macedonia,2020,0,0,0.0
333,North Macedonia,2021,0,0,0.0
334,North Macedonia,2022,0,0,0.0
335,North Macedonia,2023,0,0,0.0
336,Croatia,2017,0,0,0.0
337,Croatia,2018,0,0,0.0
338,Croatia,2019,0,0,0.0
339,Croatia,2020,0,0,0.0
340,Croatia,2021,0,0,0.0
341,Croatia,2022,0,0,0.0
342,Croatia,2023,0,0,0.0
343,Bosnia-Herzegovina,2017,0,0,0.0
344,Bosnia-Herzegovina,2018,0,0,0.0
345,Bosnia-Herzegovina,2019,0,0,0.0
346,Bosnia-Herzegovina,2020,0,0,0.0
347,Bosnia-Herzegovina,2021,0,0,0.0
348,Bosnia-Herzegovina,2022,0,0,0.0
349,Bosnia-Herzegovina,2023,0,0,0.0
350,Slovenia,2017,0,0,0.0
351,Slovenia,2018,0,0,0.0
352,Slovenia,2019,0,0,0.0
353,Slovenia,2020,0,0,0.0
354,Slovenia,2021,0,0,0.0
355,Slovenia,2022,0,0,0.0
356,Slovenia,2023,0,0,0.0
357,Greece,2017,0,0,0.0
